dataset,seq_len,pred_len,mae,mse,rmse
ETTm1,96,96,0.1766045093536377,0.05574445426464081,0.2361026406288147
ETTh1,96,24,0.19027572870254517,0.06233227252960205,0.2496643215417862
ETTm1,96,192,0.21443317830562592,0.08093062043190002,0.28448307514190674
ETTm2,96,24,0.2283182293176651,0.10679031163454056,0.3267878592014313
ETTh1,96,48,0.23100724816322327,0.08943638950586319,0.2990591824054718
ETTm2,96,48,0.25917086005210876,0.13551920652389526,0.36812934279441833
ETTh1,96,96,0.26322752237319946,0.11483071744441986,0.33886680006980896
ETTh1,96,192,0.2835235297679901,0.1342802792787552,0.3664427399635315
ETTm2,96,192,0.28517305850982666,0.16940172016620636,0.41158440709114075
ETTh1,96,336,0.29769954085350037,0.1436634212732315,0.3790295720100403
